time,open,high,low,close,Volume
1722463200,5572.75,5584,5572.75,5582,4418
1722464100,5582.5,5583.5,5579.5,5581.75,1664
1722465000,5581.75,5583.5,5576.75,5580.75,2458
1722465900,5580.75,5585,5580.25,5583,1896
1722466800,5583,5586.5,5582,5586.25,2031
1722467700,5586.25,5589.75,5585.5,5588.25,3215
1722468600,5588.5,5590,5588,5589,1516
1722469500,5589.5,5589.5,5586.75,5587.5,1554
1722470400,5587.75,5594.5,5586.25,5593.5,4388
1722471300,5593.5,5594.75,5590.5,5592.5,3425
1722472200,5592.25,5592.75,5584.5,5589.75,4717
1722473100,5589.75,5589.75,5581.25,5582.5,3842
1722474000,5582.25,5586.25,5578.75,5583.5,4950
1722474900,5583.5,5586,5581.75,5582,3290
1722475800,5582.25,5586,5582,5583.5,4017
1722476700,5583.75,5584.25,5579.75,5583.5,2732
1722477600,5583.5,5584,5580.5,5582.25,2022
1722478500,5582.25,5588.5,5581.25,5587.75,2990
1722479400,5587.75,5590.75,5585.75,5590.25,2501
1722480300,5590.25,5591.75,5588.25,5590.25,2282
1722481200,5590,5591.25,5588.5,5589.25,1790
1722482100,5589.25,5592.25,5589,5592,1431
1722483000,5592,5592.25,5589.25,5590.75,1662
1722483900,5590.75,5593.25,5589.75,5592.5,1573
1722484800,5592.5,5592.75,5590.75,5591.25,1123
1722485700,5591.5,5593,5591.5,5591.5,1290
1722486600,5591.5,5592,5588.75,5589.75,1315
1722487500,5589.5,5591.25,5588.75,5590.75,1361
1722488400,5591,5591.75,5587.75,5590.75,1717
1722489300,5590.75,5592,5589.75,5590.75,1143
1722490200,5591,5593.5,5590,5592.75,1331
1722491100,5592.75,5596.5,5592,5596.25,2324
1722492000,5596,5596.25,5579.5,5583.25,8494
1722492900,5583.25,5584.25,5581,5582.75,2927
1722493800,5583,5586.5,5582.75,5585.25,2938
1722494700,5585.5,5586,5575.75,5576.75,3558
1722495600,5577,5585.75,5576.25,5584,5191
1722496500,5583.75,5587,5580.5,5581,4146
1722497400,5581.25,5582.75,5577.75,5582.5,4210
1722498300,5582.5,5583.5,5572.75,5574.5,4567
1722499200,5574.75,5576.25,5558.75,5561.75,9696
1722500100,5561.25,5568,5559.75,5566,8313
1722501000,5566.25,5569.75,5558.5,5564,5832
1722501900,5564,5565.75,5560.25,5562.25,3973
1722502800,5562.5,5572.25,5560.75,5572.25,4795
1722503700,5572,5573.5,5566.5,5568.25,3595
1722504600,5568.25,5576,5567.75,5575.5,3269
1722505500,5575.5,5578.25,5574.25,5576.5,2342
1722506400,5576.25,5579.5,5575.5,5576.25,2691
1722507300,5576.25,5579.75,5576,5579.75,1520
1722508200,5579.75,5579.75,5574.5,5578,2847
1722509100,5577.75,5580.75,5577,5580.25,2092
1722510000,5580.25,5585.75,5578.25,5583,5129
1722510900,5583,5586,5581.5,5586,2996
1722511800,5585.5,5587,5583.5,5585.25,2616
1722512700,5585.25,5586.25,5576.5,5577.25,5470
1722513600,5577.25,5581.75,5575.75,5580.75,4572
1722514500,5580.5,5589.25,5580.5,5586,4711
1722515400,5586.75,5593.75,5581.75,5584.5,10992
1722516300,5584.5,5587.75,5583,5587.25,7080
1722517200,5587,5588.75,5579.5,5579.75,9393
1722518100,5580,5581.5,5572.5,5578,16556
1722519000,5578,5599.75,5576.25,5598.25,73698
1722519900,5598.25,5601,5586.75,5592.75,80073
1722520800,5592,5596,5571.5,5572.75,87280
1722521700,5572.75,5575,5549.75,5550,75831
1722522600,5550.5,5554.5,5536.25,5538.75,89446
1722523500,5538.75,5539.25,5524,5526.25,82105
1722524400,5526.25,5528.75,5511.5,5514.75,78941
1722525300,5514.75,5523.5,5511.25,5513,65961
1722526200,5513,5517.5,5497.25,5497.75,63417
1722527100,5497.5,5506.5,5492.75,5498.5,54443
1722528000,5498.75,5514.25,5496.25,5510.25,45808
1722528900,5509.75,5515.75,5495.25,5501.75,40031
1722529800,5502,5502,5483.25,5488.5,43609
1722530700,5488.25,5493.75,5482.5,5488.5,35360
1722531600,5488.5,5490.75,5476.75,5478.25,31174
1722532500,5478.25,5480.5,5469.25,5473.75,35775
1722533400,5474,5474.5,5456.75,5460.75,39949
1722534300,5460.75,5477,5455.5,5476.5,43822
1722535200,5476.5,5479.5,5458.5,5460.5,42380
1722536100,5460.5,5463.5,5448.75,5453.25,42506
1722537000,5453.5,5459.25,5448,5448.5,34518
1722537900,5448.5,5454.25,5444.75,5450.25,36377
