time,open,high,low,close,Volume
1556834400,2947.5,2947.5,2947.5,2947.5,159243
1557093600,2947.5,2947.5,2883.75,2932.5,159243
1557180000,2912,2930.75,2862.5,2890.75,246925
1557266400,2890.25,2899.25,2868.75,2887.25,254506
1557352800,2884.25,2885.5,2836.25,2872.75,340659
1557439200,2870.25,2893,2826,2887,396057
1557698400,2881.25,2881.25,2801.75,2807,383783
1557784800,2806.75,2854,2799.5,2839.25,181543
1557871200,2840,2860,2815,2855,217593
1557957600,2854.25,2894.25,2840.5,2878.5,220248
1558044000,2879.25,2887.75,2852.5,2862,302279
1558303200,2861.5,2876.75,2832.25,2844,263910
1558389600,2847.5,2870.75,2846.5,2866,158252
1558476000,2864.75,2869.75,2848.5,2857.5,176205
1558562400,2856.75,2858.5,2805.5,2819.5,300590
1558648800,2821.75,2842,2819.25,2831.75,175700
1558908000,2831,2841.25,2800.5,2805,211121
1559080800,2802,2806.25,2766.25,2780,300492
1559167200,2780.5,2799.25,2776.5,2790.5,200684
1559253600,2790,2791,2750,2752.5,327277
1559512800,2742.25,2763.75,2728.75,2749.5,416559
1559599200,2753,2807,2744,2805,266160
1559685600,2805.75,2829.75,2800.75,2827.75,308867
1559772000,2823.25,2853.25,2812.75,2845.75,260902
1559858400,2840.75,2886.25,2837.75,2875,230882
1560117600,2891,2905.75,2880.5,2889.25,166943
1560204000,2890,2911.5,2879.25,2887,224585
1560290400,2886,2890.75,2875.25,2881,170033
1560376800,2881.75,2896.5,2867.5,2894.5,200890
1560463200,2893.25,2898.75,2880.5,2890.5,82327
1560722400,2890.5,2900.5,2887.5,2892,19085
1560808800,2898,2936.5,2889.25,2926.25,267055
1560895200,2926,2937,2912,2933.5,209000
1560981600,2931,2964.25,2930.5,2960,251673
1561068000,2959,2969.25,2947.75,2950.5,220993
1561327200,2948.25,2961.5,2944.75,2952,160580
1561413600,2951.25,2958.25,2919.75,2922,249219
1561500000,2922.5,2939,2914.5,2918,193670
1561586400,2916,2936,2915,2931,181879
1561672800,2933.75,2955.25,2929.75,2944.25,167475
1561932000,2964,2982.25,2955.5,2967.75,206810
1562018400,2967.75,2980.25,2958.5,2979.5,191244
1562104800,2979.25,3001,2973.75,3000.25,122088
1562191200,3000,3005.5,2971.5,2990.5,208873
