time,open,high,low,close,Volume
1641164400,4770.75,4778,4770.25,4775,10332
1641168000,4775,4784,4774.5,4782.75,12643
1641171600,4782.75,4785,4776.5,4778,12149
1641175200,4778,4780,4775.5,4779.5,6760
1641178800,4779.5,4780.25,4776,4778,4452
1641182400,4778.25,4778.5,4777,4778.5,2172
1641186000,4778.5,4779.75,4777.5,4778.75,2905
1641189600,4778.75,4779.5,4772.75,4776.75,7412
1641193200,4776.75,4778,4771.5,4776.75,5266
1641196800,4776.75,4780,4775.5,4776,12183
1641200400,4776,4782.75,4773.75,4782.25,7577
1641204000,4782.5,4787.75,4781.25,4787.25,5625
1641207600,4787.5,4791.25,4787.25,4790.5,6860
1641211200,4790.5,4790.5,4783.75,4784.25,8202
1641214800,4784.5,4785.25,4775,4775.75,14414
1641218400,4775.75,4786.5,4747.25,4758.5,209459
1641222000,4758.5,4777.25,4756.75,4770.75,237172
1641225600,4770.5,4771.75,4753.5,4762.5,120640
1641229200,4762.5,4769,4759.25,4764.75,47522
1641232800,4764.75,4776.75,4762,4776,41245
1641236400,4776.25,4786,4774.75,4781.25,41724
1641240000,4781.25,4787.25,4775,4786.5,83494
1641243600,4786.25,4788.25,4783.5,4784.5,12598
1641250800,4785.5,4787,4782.25,4783,3692
1641254400,4783,4785.75,4781,4784.25,5430
1641258000,4784.25,4786.75,4782.5,4784.5,5591
1641261600,4784.5,4789.25,4783.75,4788.75,3900
1641265200,4789,4790.5,4786.75,4790,3919
1641268800,4790,4795.5,4789.25,4794.25,4744
1641272400,4794.5,4798,4794.25,4797,3900
1641276000,4797.25,4798.5,4795.25,4796.25,3441
1641279600,4796.25,4797.5,4793,4797.5,4510
1641283200,4797.25,4797.5,4792.5,4793.5,12016
1641286800,4793.25,4796.5,4793,4796.25,5652
1641290400,4796.25,4805.5,4796.25,4803.75,11140
1641294000,4803.75,4807.25,4802.5,4803,8699
1641297600,4803,4803.75,4794.75,4799,14217
1641301200,4799.25,4805,4798,4802.5,13898
1641304800,4802.75,4808.25,4799,4805.25,100416
1641308400,4804.5,4807,4783.75,4785,168873
1641312000,4785,4788.5,4773,4783.5,133271
1641315600,4783.25,4788.25,4775.5,4776.75,58919
1641319200,4776.5,4781.75,4764.5,4765.75,68494
1641322800,4765.75,4784,4765.25,4782.5,62176
1641326400,4782.5,4798.25,4782,4783.5,107595
1641330000,4783.5,4785.25,4781,4783.75,14404
1641337200,4783.75,4784.5,4777,4778.25,6112
1641340800,4778.25,4779.25,4774.25,4777,6537
1641344400,4777,4781.25,4769.5,4772.25,9839
1641348000,4772.25,4774.75,4771,4773.75,5281
1641351600,4773.75,4774.5,4771.25,4773.75,3131
1641355200,4774,4774.5,4771.25,4772.75,1860
1641358800,4772.75,4773,4767,4768.25,5179
1641362400,4768.5,4776,4766.75,4774.25,3895
1641366000,4774.5,4780.75,4773,4778.75,5954
1641369600,4778.5,4782,4775.75,4778,10730
1641373200,4777.75,4786,4777,4783.75,8276
1641376800,4783.75,4787.75,4781,4782,8902
1641380400,4782,4782.5,4778.25,4781,8406
1641384000,4781,4783.5,4776.75,4779,8335
1641387600,4779.25,4784,4774,4782.5,16143
1641391200,4782.5,4785.25,4770,4780.75,150464
1641394800,4780.5,4788.5,4776,4781.5,147385
1641398400,4781.5,4782.5,4771.5,4774,84718
1641402000,4773.75,4781,4767,4767.75,76410
1641405600,4767.75,4769.75,4761.25,4767.25,60587
1641409200,4767.25,4777.5,4719.25,4725,219572
1641412800,4725.25,4725.5,4691,4692.25,270834
1641416400,4692.25,4699.25,4689.5,4692.25,26380
1641423600,4692.5,4699,4682,4698.25,15765
1641427200,4698,4703,4691.75,4698,14487
1641430800,4698.25,4703,4689,4698.25,16791
1641434400,4698.5,4699,4688,4693.5,14488
1641438000,4693.5,4694.25,4673.25,4674.25,17689
1641441600,4674.25,4676,4668,4669.25,14234
1641445200,4669.25,4676.75,4668,4674.75,10830
1641448800,4674.75,4678,4668.75,4676.5,7826
1641452400,4676.25,4696.75,4675.5,4687.25,19351
1641456000,4687.5,4695.75,4679,4691.75,25111
1641459600,4692,4693.75,4683.5,4690,12184
1641463200,4690,4702.5,4688.75,4695.5,16008
1641466800,4695.5,4700,4688,4690.75,12459
1641470400,4690.5,4697.25,4686.75,4691,15706
1641474000,4690.75,4698,4688.75,4693,19983
1641477600,4692.75,4712,4675.5,4678.75,199537
1641481200,4678,4705,4662.25,4695,232658
1641484800,4695,4707.75,4688,4699.75,116323
1641488400,4699.75,4715.75,4694.25,4703,81395
1641492000,4703.25,4707.5,4691.5,4698.25,61732
1641495600,4698.25,4704.5,4690.25,4701.5,64932
1641499200,4701.5,4709.5,4678.75,4687.25,144520
1641502800,4687,4695,4686,4693.5,15918
1641510000,4695,4700.25,4694.75,4699.25,5181
1641513600,4699.25,4705,4698,4703.75,6906
1641517200,4703.75,4706,4699.75,4702.5,8793
1641520800,4702.5,4702.5,4693.75,4699,9119
1641524400,4699,4703.75,4696.5,4697.75,6591
1641528000,4697.75,4698.75,4694.75,4698.25,4438
1641531600,4698.25,4699.75,4693.25,4699,5945
1641535200,4699,4701.5,4695.5,4696.25,3770
1641538800,4696.25,4697.25,4691,4694,6507
1641542400,4693.75,4694.75,4678.5,4682.25,19785
1641546000,4682,4696.75,4679.75,4692,13275
1641549600,4691.75,4700,4689,4697.5,7555
1641553200,4697.5,4700,4692.5,4693,6909
1641556800,4693,4699.5,4689.75,4690,9428
1641560400,4690.5,4702,4670,4677.5,62571
1641564000,4677.25,4699.5,4675,4693.75,214283
1641567600,4693.75,4695,4653.75,4659.75,188453
1641571200,4660,4688.25,4654,4684,173241
1641574800,4684,4685.5,4672.25,4680,78098
1641578400,4679.75,4684.25,4673.25,4676.75,53750
1641582000,4676.75,4685,4668.5,4682.25,67275
1641585600,4682.25,4687.5,4666.5,4668.75,122459
1641589200,4669,4674.5,4666.5,4667.75,17618
1641769200,4671,4673.75,4649.75,4657.75,21211
1641772800,4657.75,4664,4654.25,4661.25,9488
1641776400,4661.25,4667,4653,4665.75,10724
1641780000,4666,4668.75,4663,4666,6449
1641783600,4665.75,4668.25,4663.5,4667.5,3485
1641787200,4667.25,4675.25,4667,4674.5,6011
1641790800,4674.5,4674.75,4670.5,4672,2888
1641794400,4671.75,4674.5,4669.5,4673.5,2473
1641798000,4673.75,4681.5,4673.75,4679.25,7156
1641801600,4679.5,4680.75,4656.5,4665.5,30469
1641805200,4665.75,4675.75,4664.5,4669.25,15016
1641808800,4669.25,4675.75,4663.25,4665.5,12314
1641812400,4665.5,4667.25,4656.5,4663.5,12958
1641816000,4663.25,4665,4633.75,4634.5,32423
1641819600,4634.75,4642.5,4632.5,4636,30157
1641823200,4636.25,4640,4597,4600.75,226880
1641826800,4600.75,4602.75,4572.75,4584.75,307514
1641830400,4584.5,4609,4577.75,4601.75,214692
1641834000,4601.75,4609,4586.5,4599.25,154370
1641837600,4599.5,4629,4597.75,4625.75,132627
1641841200,4626,4645.75,4623.75,4636.75,125667
1641844800,4636.75,4664.75,4623,4662.5,161176
1641848400,4662.5,4665.75,4660,4662.5,16980
1641855600,4663,4670,4660.25,4665,8219
1641859200,4665,4669,4657.5,4666.5,8927
1641862800,4666.75,4667.25,4655,4657.5,10474
1641866400,4657.75,4668.75,4656.75,4667.75,7307
1641870000,4667.75,4668.5,4662.75,4664,4170
1641873600,4663.75,4664.25,4657.5,4661.5,4697
1641877200,4661.75,4664.25,4658.5,4661.25,5641
1641880800,4661,4662.5,4653.5,4659,5518
1641884400,4659,4666.25,4656,4665.5,8018
1641888000,4665.25,4672.5,4656.25,4667,23723
1641891600,4667,4687.5,4666.5,4683.25,17868
1641895200,4683.25,4689.5,4680.25,4681.75,9124
1641898800,4681.75,4682,4675,4675.75,9687
1641902400,4675.75,4679.75,4669.5,4670.75,11358
1641906000,4670.5,4674.75,4661.25,4661.5,21521
1641909600,4661.5,4662.25,4626.5,4635.5,230340
1641913200,4635.5,4656.75,4630.5,4641.5,297260
1641916800,4641.5,4687.75,4640.25,4682.5,178322
1641920400,4682.5,4686.5,4673.5,4684.5,67515
1641924000,4684.75,4692.75,4677,4691.75,51865
1641927600,4691.75,4701,4684,4696.25,55197
1641931200,4696.25,4706.25,4692.75,4705,99275
1641934800,4705,4707.5,4703.25,4704.5,15240
1641942000,4704.25,4707.75,4702.5,4704,5544
1641945600,4704,4709.75,4703,4706.5,5254
1641949200,4706.5,4706.75,4699.25,4703,6951
1641952800,4703.25,4707.75,4702.75,4706.75,4178
1641956400,4706.75,4709.25,4706.25,4708.5,2848
1641960000,4708.75,4709.5,4707.25,4708.5,1855
1641963600,4708.5,4716,4708.25,4715.5,6045
1641967200,4715.5,4718.75,4711.75,4712,4914
1641970800,4711.75,4715.5,4709,4711.25,6623
1641974400,4711.25,4712.75,4694.75,4697,19537
1641978000,4696.75,4711,4696.25,4710.25,11456
1641981600,4710.5,4712.75,4705.75,4712,9693
1641985200,4712,4714.5,4708.25,4708.25,7065
1641988800,4708.25,4713.25,4705.5,4709.25,9980
1641992400,4709.5,4730.75,4706.25,4728.75,47418
1641996000,4728.75,4734.5,4716.25,4733.75,166846
1641999600,4733.75,4739.5,4708.5,4714.75,211366
1642003200,4714.75,4722.75,4696.75,4717.5,198615
1642006800,4717.5,4726.25,4710,4724.5,99160
1642010400,4724.75,4725.25,4709,4711,75828
1642014000,4710.75,4719.25,4705,4716.5,85181
1642017600,4716.75,4724.25,4708.5,4718.5,112831
1642021200,4718.5,4723.5,4717.75,4718.75,11702
1642028400,4719.5,4720.5,4715.5,4717.5,5205
1642032000,4717.75,4718,4713,4714.75,4249
1642035600,4715,4718.75,4702.5,4704,8250
1642039200,4704.25,4711.5,4704,4708.75,5055
